unique_staying_id,study_id,location_id,Start Time,End Time,Day of Week,Time of Day,Surveyor Count,staying_microclimate,Temperature,staying_row_total,Group Size,Race Ethnicity,Gender,Age,sitting_formal_all,sitting_formal_public,Commercial Activity,commercial_buying,Eating Drinking,talking_to_others,sitting_informal,recreation_passive,standing,using_electronics,Active Recreation,leaning,living_public,commercial_observing,working_civic,staying_mobility_assist,Waiting for Transportation,Smoking,soliciting,sitting_formal_private,Conditions,commercial_selling,Intoxicated Disruptive Behavior,lying,Cultural Activity,Aggressive Disruptive Behavior,sitting_formal_commercial,commercial_selling_informal,Disruptive Behavior,Notes,sitting_formal_public_fixed,sitting_formal_public_fixed_1,sitting_formal_public_movable,subject_id,latitidue,longitude,staying_covid_mask,staying_covid_social_distance,taking_care_child,feeding_child,waiting_non_public_transportation,recreation_active_play,recreation_passive_reading_writing,other,chance_encounter,year,month,day
44,2018_Seattle_Citywide,MAP1,2018-08-03 12:22:00,2018-08-03 12:42:00,Weekday,Midday,UD4H,Light Clouds,68,1,1,W,Female,45-64,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
45,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Male,45-64,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
46,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,5-14,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
47,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,5-14,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
48,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,25-44,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
49,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,45-64,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
50,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,6,A,Female,45-64,1,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
51,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,1,W,Female,65+,,,1,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
52,2018_Seattle_Citywide,MAP1,2018-08-03 16:37:00,2018-08-03 16:57:00,Weekday,Evening,UD4H,Sun-Shaded,73,1,1,W,Female,45-64,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,3
53,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,M,Female,15-24,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
54,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Female,15-24,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
55,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,1,W,Male,25-44,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
56,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Male,65+,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
57,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Female,65+,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
58,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,4,W,Male,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
59,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,4,W,Female,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
60,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,4,W,Female,0-4,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
61,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,4,W,Male,0-4,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
62,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Male,25-44,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
63,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Male,25-44,1,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
64,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Female,45-64,,,1,1,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
65,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Female,5-14,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
66,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Female,25-44,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
67,2018_Seattle_Citywide,MAP1,2018-08-11 12:41:00,2018-08-11 13:01:00,Weekend,Midday,UD4H,Heavy Clouds,71,1,2,W,Male,25-44,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,8,11
